Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201830,Central Pier,Southeast,24,53
202507201830,Chek Lap Kok,East,35,51
202507201830,Cheung Chau,Southeast,51,59
202507201830,Cheung Chau Beach,East,40,54
202507201830,Green Island,Southeast,36,60
202507201830,Hong Kong Sea School,N/A,N/A,N/A
202507201830,Kai Tak,East,33,59
202507201830,King's Park,East,23,43
202507201830,Lamma Island,East,32,51
202507201830,Lau Fau Shan,East,21,46
202507201830,Ngong Ping,N/A,68,97
202507201830,North Point,East,28,42
202507201830,Peng Chau,East,26,47
202507201830,Sai Kung,Southeast,32,53
202507201830,Sha Chau,Southeast,41,53
202507201830,Sha Tin,East,17,34
202507201830,Shek Kong,East,N/A,N/A
202507201830,Stanley,N/A,N/A,N/A
202507201830,Star Ferry,East,28,45
202507201830,Ta Kwu Ling,Southeast,19,36
202507201830,Tai Mei Tuk,East,39,54
202507201830,Tai Po Kau,Southeast,34,49
202507201830,Tap Mun,Southeast,45,55
202507201830,Tate's Cairn,Southeast,53,76
202507201830,Tseung Kwan O,Southeast,13,37
202507201830,Tsing Yi,East,17,36
202507201830,Tuen Mun,Southeast,26,51
202507201830,Waglan Island,East,50,55
202507201830,Wetland Park,East,9,22
202507201830,Wong Chuk Hang,Variable,12,33
