Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200310,Central Pier,West,21,27
202507200310,Chek Lap Kok,Northwest,24,32
202507200310,Cheung Chau,Northwest,33,51
202507200310,Cheung Chau Beach,Southeast,11,24
202507200310,Green Island,Northwest,45,54
202507200310,Hong Kong Sea School,North,11,27
202507200310,Kai Tak,Northwest,26,44
202507200310,King's Park,Northwest,12,32
202507200310,Lamma Island,Northwest,25,35
202507200310,Lau Fau Shan,Northwest,12,18
202507200310,Ngong Ping,Variable,15,30
202507200310,North Point,Variable,16,38
202507200310,Peng Chau,Northwest,39,51
202507200310,Sai Kung,North,24,43
202507200310,Sha Chau,North,24,40
202507200310,Sha Tin,Northeast,8,23
202507200310,Shek Kong,Northwest,N/A,N/A
202507200310,Stanley,N/A,N/A,N/A
202507200310,Star Ferry,West,21,25
202507200310,Ta Kwu Ling,North,3,8
202507200310,Tai Mei Tuk,North,10,30
202507200310,Tai Po Kau,Northwest,15,26
202507200310,Tap Mun,Northwest,19,30
202507200310,Tate's Cairn,North,49,66
202507200310,Tseung Kwan O,North,19,40
202507200310,Tsing Yi,Northwest,16,28
202507200310,Tuen Mun,North,5,15
202507200310,Waglan Island,Northwest,39,46
202507200310,Wetland Park,Northwest,2,12
202507200310,Wong Chuk Hang,West,6,25
