Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200410,Central Pier,Northwest,28,40
202507200410,Chek Lap Kok,Northwest,38,47
202507200410,Cheung Chau,Northwest,44,64
202507200410,Cheung Chau Beach,Variable,12,35
202507200410,Green Island,Northwest,47,59
202507200410,Hong Kong Sea School,North,19,41
202507200410,Kai Tak,Northwest,24,40
202507200410,King's Park,Northwest,16,29
202507200410,Lamma Island,Northwest,39,49
202507200410,Lau Fau Shan,Northwest,30,39
202507200410,Ngong Ping,Variable,19,45
202507200410,North Point,Northwest,13,24
202507200410,Peng Chau,Northwest,39,54
202507200410,Sai Kung,North,32,51
202507200410,Sha Chau,Variable,30,56
202507200410,Sha Tin,North,10,26
202507200410,Shek Kong,North,N/A,N/A
202507200410,Stanley,N/A,N/A,N/A
202507200410,Star Ferry,West,16,27
202507200410,Ta Kwu Ling,North,15,28
202507200410,Tai Mei Tuk,Northeast,24,55
202507200410,Tai Po Kau,Northwest,29,51
202507200410,Tap Mun,North,19,32
202507200410,Tate's Cairn,North,54,68
202507200410,Tseung Kwan O,North,19,43
202507200410,Tsing Yi,Northwest,18,34
202507200410,Tuen Mun,Northwest,8,27
202507200410,Waglan Island,North,54,68
202507200410,Wetland Park,North,5,20
202507200410,Wong Chuk Hang,Northwest,9,22
