Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201010,Central Pier,East,42,84
202507201010,Chek Lap Kok,North,68,87
202507201010,Cheung Chau,Northeast,113,161
202507201010,Cheung Chau Beach,Northeast,105,142
202507201010,Green Island,Northeast,109,149
202507201010,Hong Kong Sea School,Southeast,112,181
202507201010,Kai Tak,Northeast,40,95
202507201010,King's Park,Northeast,48,99
202507201010,Lamma Island,Northeast,45,100
202507201010,Lau Fau Shan,North,65,86
202507201010,Ngong Ping,N/A,91,132
202507201010,North Point,Northeast,72,108
202507201010,Peng Chau,Northeast,88,119
202507201010,Sai Kung,Northeast,59,98
202507201010,Sha Chau,North,82,117
202507201010,Sha Tin,Northeast,33,62
202507201010,Shek Kong,Northeast,N/A,N/A
202507201010,Stanley,N/A,N/A,N/A
202507201010,Star Ferry,East,18,55
202507201010,Ta Kwu Ling,Northeast,35,63
202507201010,Tai Mei Tuk,Northeast,96,135
202507201010,Tai Po Kau,Northeast,67,100
202507201010,Tap Mun,East,86,112
202507201010,Tate's Cairn,East,102,149
202507201010,Tseung Kwan O,Northeast,40,81
202507201010,Tsing Yi,Southwest,22,45
202507201010,Tuen Mun,North,19,43
202507201010,Waglan Island,Northeast,127,155
202507201010,Wetland Park,North,12,49
202507201010,Wong Chuk Hang,Northeast,45,97
