Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200240,Central Pier,West,19,26
202507200240,Chek Lap Kok,Northwest,18,23
202507200240,Cheung Chau,Northwest,34,55
202507200240,Cheung Chau Beach,South,13,28
202507200240,Green Island,Northwest,28,35
202507200240,Hong Kong Sea School,Northeast,6,19
202507200240,Kai Tak,Northwest,22,39
202507200240,King's Park,Northwest,16,26
202507200240,Lamma Island,North,20,30
202507200240,Lau Fau Shan,Northwest,19,25
202507200240,Ngong Ping,Variable,16,36
202507200240,North Point,West,9,17
202507200240,Peng Chau,Northwest,30,42
202507200240,Sai Kung,North,21,37
202507200240,Sha Chau,Variable,6,18
202507200240,Sha Tin,Northeast,6,15
202507200240,Shek Kong,Northwest,N/A,N/A
202507200240,Stanley,N/A,N/A,N/A
202507200240,Star Ferry,West,21,27
202507200240,Ta Kwu Ling,Northwest,3,5
202507200240,Tai Mei Tuk,West,11,19
202507200240,Tai Po Kau,West,10,16
202507200240,Tap Mun,North,17,29
202507200240,Tate's Cairn,North,43,51
202507200240,Tseung Kwan O,North,15,40
202507200240,Tsing Yi,Northwest,10,17
202507200240,Tuen Mun,North,5,15
202507200240,Waglan Island,Northwest,30,36
202507200240,Wetland Park,Northwest,3,11
202507200240,Wong Chuk Hang,Variable,6,21
