Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201720,Central Pier,Southeast,27,50
202507201720,Chek Lap Kok,East,40,53
202507201720,Cheung Chau,Southeast,58,68
202507201720,Cheung Chau Beach,East,51,66
202507201720,Green Island,East,38,55
202507201720,Hong Kong Sea School,N/A,N/A,N/A
202507201720,Kai Tak,East,27,42
202507201720,King's Park,East,23,45
202507201720,Lamma Island,Southeast,31,53
202507201720,Lau Fau Shan,East,20,36
202507201720,Ngong Ping,N/A,75,103
202507201720,North Point,East,20,30
202507201720,Peng Chau,East,29,49
202507201720,Sai Kung,Southeast,27,40
202507201720,Sha Chau,Southeast,48,62
202507201720,Sha Tin,Southeast,18,41
202507201720,Shek Kong,East,N/A,N/A
202507201720,Stanley,N/A,N/A,N/A
202507201720,Star Ferry,East,30,40
202507201720,Ta Kwu Ling,East,23,46
202507201720,Tai Mei Tuk,East,37,45
202507201720,Tai Po Kau,Southeast,19,41
202507201720,Tap Mun,East,51,61
202507201720,Tate's Cairn,Southeast,41,71
202507201720,Tseung Kwan O,Southeast,17,32
202507201720,Tsing Yi,Southeast,23,46
202507201720,Tuen Mun,Southeast,15,36
202507201720,Waglan Island,East,44,49
202507201720,Wetland Park,East,6,27
202507201720,Wong Chuk Hang,East,12,30
