Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200720,Central Pier,North,19,53
202507200720,Chek Lap Kok,North,48,60
202507200720,Cheung Chau,North,51,72
202507200720,Cheung Chau Beach,Northeast,30,60
202507200720,Green Island,North,65,85
202507200720,Hong Kong Sea School,North,40,77
202507200720,Kai Tak,Northwest,32,67
202507200720,King's Park,North,28,64
202507200720,Lamma Island,North,40,62
202507200720,Lau Fau Shan,North,48,73
202507200720,Ngong Ping,N/A,39,75
202507200720,North Point,North,32,48
202507200720,Peng Chau,Northwest,42,54
202507200720,Sai Kung,North,42,68
202507200720,Sha Chau,North,55,73
202507200720,Sha Tin,North,17,40
202507200720,Shek Kong,North,N/A,N/A
202507200720,Stanley,N/A,N/A,N/A
202507200720,Star Ferry,Northwest,13,28
202507200720,Ta Kwu Ling,North,17,34
202507200720,Tai Mei Tuk,North,37,64
202507200720,Tai Po Kau,North,22,48
202507200720,Tap Mun,North,29,53
202507200720,Tate's Cairn,North,87,106
202507200720,Tseung Kwan O,Northeast,26,65
202507200720,Tsing Yi,Northwest,35,55
202507200720,Tuen Mun,North,12,41
202507200720,Waglan Island,North,81,94
202507200720,Wetland Park,North,5,17
202507200720,Wong Chuk Hang,Northwest,23,51
