Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200030,Central Pier,West,21,30
202507200030,Chek Lap Kok,West,15,19
202507200030,Cheung Chau,Northwest,9,17
202507200030,Cheung Chau Beach,Northwest,6,11
202507200030,Green Island,Northwest,22,32
202507200030,Hong Kong Sea School,East,4,10
202507200030,Kai Tak,West,12,17
202507200030,King's Park,West,10,21
202507200030,Lamma Island,Northwest,8,12
202507200030,Lau Fau Shan,Northwest,13,20
202507200030,Ngong Ping,Northwest,18,27
202507200030,North Point,West,21,28
202507200030,Peng Chau,Northwest,21,32
202507200030,Sai Kung,North,6,12
202507200030,Sha Chau,Variable,6,15
202507200030,Sha Tin,East,3,5
202507200030,Shek Kong,West,N/A,N/A
202507200030,Stanley,N/A,N/A,N/A
202507200030,Star Ferry,West,24,29
202507200030,Ta Kwu Ling,Northwest,2,4
202507200030,Tai Mei Tuk,Variable,5,17
202507200030,Tai Po Kau,West,8,19
202507200030,Tap Mun,Northwest,14,19
202507200030,Tate's Cairn,North,32,36
202507200030,Tseung Kwan O,Variable,2,5
202507200030,Tsing Yi,Northwest,8,13
202507200030,Tuen Mun,Northwest,9,24
202507200030,Waglan Island,West,22,30
202507200030,Wetland Park,Calm,3,
202507200030,Wong Chuk Hang,Northeast,1,4
