Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201410,Central Pier,Southeast,30,62
202507201410,Chek Lap Kok,East,55,74
202507201410,Cheung Chau,Southeast,79,87
202507201410,Cheung Chau Beach,East,40,72
202507201410,Green Island,Southeast,43,78
202507201410,Hong Kong Sea School,N/A,N/A,N/A
202507201410,Kai Tak,East,43,62
202507201410,King's Park,Southeast,27,60
202507201410,Lamma Island,Southeast,44,66
202507201410,Lau Fau Shan,East,42,65
202507201410,Ngong Ping,N/A,89,140
202507201410,North Point,East,27,50
202507201410,Peng Chau,East,35,65
202507201410,Sai Kung,East,33,52
202507201410,Sha Chau,Southeast,64,105
202507201410,Sha Tin,East,16,37
202507201410,Shek Kong,East,N/A,N/A
202507201410,Stanley,N/A,N/A,N/A
202507201410,Star Ferry,East,37,58
202507201410,Ta Kwu Ling,East,30,57
202507201410,Tai Mei Tuk,East,66,81
202507201410,Tai Po Kau,East,55,65
202507201410,Tap Mun,East,77,93
202507201410,Tate's Cairn,Southeast,53,77
202507201410,Tseung Kwan O,Southeast,18,43
202507201410,Tsing Yi,Southeast,27,68
202507201410,Tuen Mun,Variable,12,40
202507201410,Waglan Island,East,62,74
202507201410,Wetland Park,East,16,32
202507201410,Wong Chuk Hang,East,17,50
