Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200400,Central Pier,West,23,35
202507200400,Chek Lap Kok,Northwest,34,41
202507200400,Cheung Chau,Northwest,45,63
202507200400,Cheung Chau Beach,Southeast,14,34
202507200400,Green Island,Northwest,48,55
202507200400,Hong Kong Sea School,North,17,59
202507200400,Kai Tak,Northwest,27,53
202507200400,King's Park,Northwest,18,40
202507200400,Lamma Island,Northwest,36,46
202507200400,Lau Fau Shan,Northwest,29,35
202507200400,Ngong Ping,Variable,17,35
202507200400,North Point,Northwest,19,42
202507200400,Peng Chau,Northwest,41,54
202507200400,Sai Kung,North,30,49
202507200400,Sha Chau,Variable,22,48
202507200400,Sha Tin,North,8,24
202507200400,Shek Kong,Northwest,N/A,N/A
202507200400,Stanley,N/A,N/A,N/A
202507200400,Star Ferry,West,16,23
202507200400,Ta Kwu Ling,North,10,22
202507200400,Tai Mei Tuk,Northeast,29,62
202507200400,Tai Po Kau,Northwest,17,36
202507200400,Tap Mun,North,20,38
202507200400,Tate's Cairn,North,56,69
202507200400,Tseung Kwan O,North,19,44
202507200400,Tsing Yi,Northwest,19,30
202507200400,Tuen Mun,North,8,22
202507200400,Waglan Island,Northwest,53,65
202507200400,Wetland Park,Northwest,6,19
202507200400,Wong Chuk Hang,Northwest,12,27
