Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201910,Central Pier,Southeast,26,49
202507201910,Chek Lap Kok,East,30,45
202507201910,Cheung Chau,Southeast,53,60
202507201910,Cheung Chau Beach,East,48,62
202507201910,Green Island,East,33,55
202507201910,Hong Kong Sea School,N/A,N/A,N/A
202507201910,Kai Tak,East,30,44
202507201910,King's Park,East,23,41
202507201910,Lamma Island,Southeast,35,51
202507201910,Lau Fau Shan,East,24,45
202507201910,Ngong Ping,N/A,72,103
202507201910,North Point,East,19,32
202507201910,Peng Chau,East,26,46
202507201910,Sai Kung,Southeast,28,42
202507201910,Sha Chau,Southeast,42,57
202507201910,Sha Tin,Southeast,21,40
202507201910,Shek Kong,East,N/A,N/A
202507201910,Stanley,N/A,N/A,N/A
202507201910,Star Ferry,East,30,44
202507201910,Ta Kwu Ling,Southeast,19,39
202507201910,Tai Mei Tuk,East,33,45
202507201910,Tai Po Kau,Southeast,26,47
202507201910,Tap Mun,Southeast,42,49
202507201910,Tate's Cairn,South,30,58
202507201910,Tseung Kwan O,Southeast,21,36
202507201910,Tsing Yi,Southeast,17,32
202507201910,Tuen Mun,Southeast,27,58
202507201910,Waglan Island,East,49,54
202507201910,Wetland Park,Southeast,10,24
202507201910,Wong Chuk Hang,East,12,27
