Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507201030,Central Pier,East,71,106
202507201030,Chek Lap Kok,North,68,90
202507201030,Cheung Chau,Northeast,98,138
202507201030,Cheung Chau Beach,Northeast,120,171
202507201030,Green Island,Northeast,117,167
202507201030,Hong Kong Sea School,Southeast,82,175
202507201030,Kai Tak,East,36,84
202507201030,King's Park,Northeast,44,94
202507201030,Lamma Island,Northeast,43,83
202507201030,Lau Fau Shan,Northeast,47,81
202507201030,Ngong Ping,N/A,75,114
202507201030,North Point,Northeast,88,116
202507201030,Peng Chau,Northeast,80,106
202507201030,Sai Kung,Northeast,83,125
202507201030,Sha Chau,North,81,114
202507201030,Sha Tin,Northeast,34,69
202507201030,Shek Kong,Northeast,N/A,N/A
202507201030,Stanley,N/A,N/A,N/A
202507201030,Star Ferry,East,29,72
202507201030,Ta Kwu Ling,Northeast,42,81
202507201030,Tai Mei Tuk,Northeast,83,103
202507201030,Tai Po Kau,East,62,94
202507201030,Tap Mun,East,95,117
202507201030,Tate's Cairn,East,113,157
202507201030,Tseung Kwan O,North,34,75
202507201030,Tsing Yi,Variable,19,56
202507201030,Tuen Mun,North,17,45
202507201030,Waglan Island,East,129,148
202507201030,Wetland Park,Northeast,16,49
202507201030,Wong Chuk Hang,East,42,114
