Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509070430,Central Pier,East,24,36
202509070430,Chek Lap Kok,East,16,25
202509070430,Cheung Chau,East,31,44
202509070430,Cheung Chau Beach,East,33,42
202509070430,Green Island,East,35,48
202509070430,Hong Kong Sea School,East,28,46
202509070430,Kai Tak,East,23,34
202509070430,King's Park,East,14,34
202509070430,Lamma Island,East,21,32
202509070430,Lau Fau Shan,East,14,21
202509070430,Ngong Ping,East,53,66
202509070430,North Point,East,25,42
202509070430,Peng Chau,East,28,35
202509070430,Sai Kung,East,14,25
202509070430,Sha Chau,East,16,23
202509070430,Sha Tin,East,10,24
202509070430,Shek Kong,East,19,39
202509070430,Stanley,Southeast,26,36
202509070430,Star Ferry,East,26,38
202509070430,Ta Kwu Ling,East,12,28
202509070430,Tai Mei Tuk,East,32,38
202509070430,Tai Po Kau,East,21,29
202509070430,Tap Mun,East,28,37
202509070430,Tate's Cairn,N/A,45,55
202509070430,Tseung Kwan O,Variable,6,17
202509070430,Tsing Yi,Southeast,6,15
202509070430,Tuen Mun,East,9,20
202509070430,Waglan Island,East,37,44
202509070430,Wetland Park,East,5,14
202509070430,Wong Chuk Hang,East,9,30
