Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509071710,Central Pier,East,26,40
202509071710,Chek Lap Kok,East,15,25
202509071710,Cheung Chau,East,28,44
202509071710,Cheung Chau Beach,East,35,49
202509071710,Green Island,East,20,37
202509071710,Hong Kong Sea School,East,24,41
202509071710,Kai Tak,Southeast,22,36
202509071710,King's Park,Southeast,19,30
202509071710,Lamma Island,Southeast,18,30
202509071710,Lau Fau Shan,Southeast,5,10
202509071710,Ngong Ping,East,49,62
202509071710,North Point,East,24,35
202509071710,Peng Chau,East,15,26
202509071710,Sai Kung,East,19,28
202509071710,Sha Chau,East,14,19
202509071710,Sha Tin,Southeast,6,12
202509071710,Shek Kong,East,17,27
202509071710,Stanley,Southeast,28,40
202509071710,Star Ferry,East,22,30
202509071710,Ta Kwu Ling,East,15,30
202509071710,Tai Mei Tuk,East,27,36
202509071710,Tai Po Kau,Southeast,17,34
202509071710,Tap Mun,Southeast,45,52
202509071710,Tate's Cairn,N/A,33,48
202509071710,Tseung Kwan O,Southeast,10,24
202509071710,Tsing Yi,Southeast,10,19
202509071710,Tuen Mun,Variable,3,12
202509071710,Waglan Island,East,34,44
202509071710,Wetland Park,East,1,11
202509071710,Wong Chuk Hang,Southeast,8,24
