Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509082020,Central Pier,East,9,17
202509082020,Chek Lap Kok,South,29,39
202509082020,Cheung Chau,South,40,50
202509082020,Cheung Chau Beach,South,26,41
202509082020,Green Island,South,42,54
202509082020,Hong Kong Sea School,Southeast,3,10
202509082020,Kai Tak,South,19,32
202509082020,King's Park,South,13,32
202509082020,Lamma Island,South,17,34
202509082020,Lau Fau Shan,South,26,37
202509082020,Ngong Ping,Southwest,46,62
202509082020,North Point,South,8,19
202509082020,Peng Chau,South,22,35
202509082020,Sai Kung,South,27,36
202509082020,Sha Chau,South,30,40
202509082020,Sha Tin,Southwest,15,28
202509082020,Shek Kong,South,14,32
202509082020,Stanley,Southwest,30,43
202509082020,Star Ferry,Southeast,15,37
202509082020,Ta Kwu Ling,South,9,17
202509082020,Tai Mei Tuk,South,6,24
202509082020,Tai Po Kau,Southeast,15,34
202509082020,Tap Mun,South,24,38
202509082020,Tate's Cairn,N/A,29,43
202509082020,Tseung Kwan O,South,12,27
202509082020,Tsing Yi,Southeast,25,40
202509082020,Tuen Mun,Southeast,24,45
202509082020,Waglan Island,South,36,42
202509082020,Wetland Park,Southeast,7,19
202509082020,Wong Chuk Hang,Northwest,7,15
