Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509070450,Central Pier,East,24,36
202509070450,Chek Lap Kok,East,20,33
202509070450,Cheung Chau,East,30,46
202509070450,Cheung Chau Beach,East,32,38
202509070450,Green Island,East,37,48
202509070450,Hong Kong Sea School,East,29,47
202509070450,Kai Tak,East,16,24
202509070450,King's Park,Southeast,12,29
202509070450,Lamma Island,East,22,35
202509070450,Lau Fau Shan,East,19,30
202509070450,Ngong Ping,East,48,66
202509070450,North Point,East,22,33
202509070450,Peng Chau,East,30,39
202509070450,Sai Kung,Northeast,14,19
202509070450,Sha Chau,Variable,14,22
202509070450,Sha Tin,East,10,19
202509070450,Shek Kong,East,14,29
202509070450,Stanley,Southeast,24,38
202509070450,Star Ferry,East,24,37
202509070450,Ta Kwu Ling,East,10,24
202509070450,Tai Mei Tuk,Northeast,19,26
202509070450,Tai Po Kau,East,25,33
202509070450,Tap Mun,East,31,38
202509070450,Tate's Cairn,N/A,36,51
202509070450,Tseung Kwan O,East,8,22
202509070450,Tsing Yi,Southeast,9,23
202509070450,Tuen Mun,Northeast,3,9
202509070450,Waglan Island,East,37,40
202509070450,Wetland Park,East,6,17
202509070450,Wong Chuk Hang,East,8,20
