Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509081700,Central Pier,Variable,10,26
202509081700,Chek Lap Kok,South,33,45
202509081700,Cheung Chau,South,51,65
202509081700,Cheung Chau Beach,South,29,47
202509081700,Green Island,South,56,71
202509081700,Hong Kong Sea School,Variable,6,19
202509081700,Kai Tak,South,20,42
202509081700,King's Park,Southwest,24,48
202509081700,Lamma Island,South,22,40
202509081700,Lau Fau Shan,South,12,22
202509081700,Ngong Ping,Southwest,61,85
202509081700,North Point,North,4,12
202509081700,Peng Chau,South,27,44
202509081700,Sai Kung,South,30,41
202509081700,Sha Chau,South,35,47
202509081700,Sha Tin,Southwest,19,39
202509081700,Shek Kong,South,22,40
202509081700,Stanley,Southwest,41,59
202509081700,Star Ferry,Southeast,23,46
202509081700,Ta Kwu Ling,South,17,30
202509081700,Tai Mei Tuk,Southwest,17,38
202509081700,Tai Po Kau,South,8,19
202509081700,Tap Mun,South,28,46
202509081700,Tate's Cairn,N/A,37,64
202509081700,Tseung Kwan O,Southwest,15,35
202509081700,Tsing Yi,Southeast,28,41
202509081700,Tuen Mun,Southeast,23,45
202509081700,Waglan Island,South,54,60
202509081700,Wetland Park,Calm,6,
202509081700,Wong Chuk Hang,Northwest,11,24
