Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509081730,Central Pier,East,9,18
202509081730,Chek Lap Kok,South,30,52
202509081730,Cheung Chau,South,49,62
202509081730,Cheung Chau Beach,South,26,41
202509081730,Green Island,South,50,67
202509081730,Hong Kong Sea School,East,7,23
202509081730,Kai Tak,South,17,29
202509081730,King's Park,South,14,39
202509081730,Lamma Island,Southeast,21,40
202509081730,Lau Fau Shan,South,19,27
202509081730,Ngong Ping,Southwest,58,78
202509081730,North Point,Variable,5,17
202509081730,Peng Chau,South,26,48
202509081730,Sai Kung,South,28,38
202509081730,Sha Chau,South,34,44
202509081730,Sha Tin,Southwest,14,27
202509081730,Shek Kong,South,15,36
202509081730,Stanley,Southwest,40,59
202509081730,Star Ferry,Southeast,24,48
202509081730,Ta Kwu Ling,South,15,26
202509081730,Tai Mei Tuk,Southwest,17,45
202509081730,Tai Po Kau,Southeast,15,41
202509081730,Tap Mun,South,28,45
202509081730,Tate's Cairn,N/A,42,62
202509081730,Tseung Kwan O,Southwest,12,30
202509081730,Tsing Yi,Southeast,34,49
202509081730,Tuen Mun,Southeast,22,43
202509081730,Waglan Island,South,54,64
202509081730,Wetland Park,South,12,36
202509081730,Wong Chuk Hang,Northwest,12,27
