Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509060740,Central Pier,West,10,13
202509060740,Chek Lap Kok,Variable,1,3
202509060740,Cheung Chau,North,3,6
202509060740,Cheung Chau Beach,Northwest,3,7
202509060740,Green Island,Northwest,6,10
202509060740,Hong Kong Sea School,Northeast,4,9
202509060740,Kai Tak,Variable,2,6
202509060740,King's Park,Northwest,3,9
202509060740,Lamma Island,North,6,10
202509060740,Lau Fau Shan,Northeast,1,4
202509060740,Ngong Ping,East,9,13
202509060740,North Point,Northeast,4,5
202509060740,Peng Chau,Northwest,5,9
202509060740,Sai Kung,Northeast,3,5
202509060740,Sha Chau,North,6,10
202509060740,Sha Tin,Southeast,2,5
202509060740,Shek Kong,East,1,5
202509060740,Stanley,North,4,7
202509060740,Star Ferry,West,9,12
202509060740,Ta Kwu Ling,South,1,4
202509060740,Tai Mei Tuk,Southwest,5,6
202509060740,Tai Po Kau,West,5,9
202509060740,Tap Mun,Northwest,5,9
202509060740,Tate's Cairn,N/A,0,
202509060740,Tseung Kwan O,Northwest,2,6
202509060740,Tsing Yi,Northwest,3,6
202509060740,Tuen Mun,Variable,1,8
202509060740,Waglan Island,North,6,9
202509060740,Wetland Park,Calm,0,
202509060740,Wong Chuk Hang,Calm,1,
