Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509070020,Central Pier,East,30,40
202509070020,Chek Lap Kok,East,16,22
202509070020,Cheung Chau,East,22,33
202509070020,Cheung Chau Beach,Northeast,31,40
202509070020,Green Island,Northeast,38,51
202509070020,Hong Kong Sea School,Northeast,21,42
202509070020,Kai Tak,East,18,30
202509070020,King's Park,East,18,36
202509070020,Lamma Island,East,18,29
202509070020,Lau Fau Shan,East,7,16
202509070020,Ngong Ping,East,35,49
202509070020,North Point,East,24,35
202509070020,Peng Chau,East,21,26
202509070020,Sai Kung,East,18,30
202509070020,Sha Chau,East,15,22
202509070020,Sha Tin,East,14,25
202509070020,Shek Kong,East,14,40
202509070020,Stanley,Southeast,21,36
202509070020,Star Ferry,East,18,32
202509070020,Ta Kwu Ling,East,6,15
202509070020,Tai Mei Tuk,East,24,30
202509070020,Tai Po Kau,East,22,31
202509070020,Tap Mun,East,30,37
202509070020,Tate's Cairn,N/A,31,45
202509070020,Tseung Kwan O,Southeast,8,18
202509070020,Tsing Yi,Southeast,10,24
202509070020,Tuen Mun,North,3,6
202509070020,Waglan Island,East,33,36
202509070020,Wetland Park,East,4,12
202509070020,Wong Chuk Hang,East,13,26
