Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509081530,Central Pier,South,12,34
202509081530,Chek Lap Kok,South,30,42
202509081530,Cheung Chau,South,46,61
202509081530,Cheung Chau Beach,South,32,46
202509081530,Green Island,South,49,65
202509081530,Hong Kong Sea School,East,6,19
202509081530,Kai Tak,South,19,39
202509081530,King's Park,South,24,50
202509081530,Lamma Island,Southwest,14,35
202509081530,Lau Fau Shan,South,19,34
202509081530,Ngong Ping,Southwest,62,88
202509081530,North Point,Variable,7,22
202509081530,Peng Chau,South,23,40
202509081530,Sai Kung,South,32,48
202509081530,Sha Chau,South,40,50
202509081530,Sha Tin,Southwest,17,30
202509081530,Shek Kong,South,19,40
202509081530,Stanley,Southwest,34,45
202509081530,Star Ferry,Southeast,24,61
202509081530,Ta Kwu Ling,South,10,18
202509081530,Tai Mei Tuk,Southwest,12,29
202509081530,Tai Po Kau,Southeast,14,32
202509081530,Tap Mun,South,30,48
202509081530,Tate's Cairn,N/A,39,66
202509081530,Tseung Kwan O,South,13,30
202509081530,Tsing Yi,Southeast,28,42
202509081530,Tuen Mun,Southeast,24,51
202509081530,Waglan Island,South,45,51
202509081530,Wetland Park,Southeast,11,27
202509081530,Wong Chuk Hang,Variable,14,34
