Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509080910,Central Pier,Southeast,22,39
202509080910,Chek Lap Kok,Southeast,46,76
202509080910,Cheung Chau,Southeast,70,91
202509080910,Cheung Chau Beach,Southeast,31,58
202509080910,Green Island,Southeast,41,68
202509080910,Hong Kong Sea School,South,12,38
202509080910,Kai Tak,Southeast,44,62
202509080910,King's Park,South,26,58
202509080910,Lamma Island,Southeast,42,64
202509080910,Lau Fau Shan,Southeast,35,67
202509080910,Ngong Ping,Southwest,85,140
202509080910,North Point,East,12,40
202509080910,Peng Chau,Southeast,46,78
202509080910,Sai Kung,Southeast,67,87
202509080910,Sha Chau,South,54,80
202509080910,Sha Tin,Southeast,27,68
202509080910,Shek Kong,Southeast,18,53
202509080910,Stanley,South,59,79
202509080910,Star Ferry,Southeast,37,71
202509080910,Ta Kwu Ling,Southeast,23,43
202509080910,Tai Mei Tuk,Southeast,22,61
202509080910,Tai Po Kau,Southeast,40,72
202509080910,Tap Mun,Southeast,65,98
202509080910,Tate's Cairn,N/A,62,94
202509080910,Tseung Kwan O,Southeast,14,48
202509080910,Tsing Yi,Southeast,33,68
202509080910,Tuen Mun,Southeast,30,64
202509080910,Waglan Island,Southeast,67,84
202509080910,Wetland Park,Southeast,19,49
202509080910,Wong Chuk Hang,East,17,42
