Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509052300,Central Pier,Southeast,10,17
202509052300,Chek Lap Kok,Variable,9,14
202509052300,Cheung Chau,Southeast,13,17
202509052300,Cheung Chau Beach,East,9,12
202509052300,Green Island,South,11,16
202509052300,Hong Kong Sea School,Northeast,7,14
202509052300,Kai Tak,Southeast,12,17
202509052300,King's Park,Southeast,6,12
202509052300,Lamma Island,East,10,15
202509052300,Lau Fau Shan,Southeast,1,3
202509052300,Ngong Ping,Southeast,26,36
202509052300,North Point,East,15,21
202509052300,Peng Chau,South,9,15
202509052300,Sai Kung,Calm,3,
202509052300,Sha Chau,Southeast,18,21
202509052300,Sha Tin,North,1,4
202509052300,Shek Kong,South,3,6
202509052300,Stanley,South,12,18
202509052300,Star Ferry,Southeast,14,18
202509052300,Ta Kwu Ling,Southeast,4,9
202509052300,Tai Mei Tuk,Northeast,8,11
202509052300,Tai Po Kau,South,6,9
202509052300,Tap Mun,South,6,9
202509052300,Tate's Cairn,N/A,21,23
202509052300,Tseung Kwan O,Southeast,7,12
202509052300,Tsing Yi,Southeast,1,5
202509052300,Tuen Mun,Southeast,9,17
202509052300,Waglan Island,East,15,19
202509052300,Wetland Park,Calm,0,
202509052300,Wong Chuk Hang,Variable,1,3
