Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509081130,Central Pier,East,24,61
202509081130,Chek Lap Kok,South,45,62
202509081130,Cheung Chau,South,61,81
202509081130,Cheung Chau Beach,South,26,51
202509081130,Green Island,South,75,95
202509081130,Hong Kong Sea School,South,10,30
202509081130,Kai Tak,South,25,40
202509081130,King's Park,South,33,72
202509081130,Lamma Island,Southeast,35,59
202509081130,Lau Fau Shan,Southeast,49,74
202509081130,Ngong Ping,Southwest,61,97
202509081130,North Point,South,18,50
202509081130,Peng Chau,South,37,62
202509081130,Sai Kung,South,53,86
202509081130,Sha Chau,South,55,77
202509081130,Sha Tin,Southwest,13,43
202509081130,Shek Kong,South,13,44
202509081130,Stanley,Southwest,60,87
202509081130,Star Ferry,Southeast,24,55
202509081130,Ta Kwu Ling,South,19,40
202509081130,Tai Mei Tuk,South,18,57
202509081130,Tai Po Kau,Southeast,23,46
202509081130,Tap Mun,South,48,96
202509081130,Tate's Cairn,N/A,46,76
202509081130,Tseung Kwan O,Variable,9,28
202509081130,Tsing Yi,Southeast,49,86
202509081130,Tuen Mun,Southeast,37,75
202509081130,Waglan Island,South,67,87
202509081130,Wetland Park,Southeast,14,39
202509081130,Wong Chuk Hang,Northwest,17,36
