Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509070100,Central Pier,East,21,34
202509070100,Chek Lap Kok,East,15,19
202509070100,Cheung Chau,East,23,33
202509070100,Cheung Chau Beach,East,33,41
202509070100,Green Island,East,27,39
202509070100,Hong Kong Sea School,East,18,34
202509070100,Kai Tak,East,15,32
202509070100,King's Park,East,15,35
202509070100,Lamma Island,East,19,26
202509070100,Lau Fau Shan,East,12,17
202509070100,Ngong Ping,East,46,65
202509070100,North Point,East,19,34
202509070100,Peng Chau,East,30,36
202509070100,Sai Kung,East,15,23
202509070100,Sha Chau,East,15,23
202509070100,Sha Tin,Northeast,11,28
202509070100,Shek Kong,East,8,21
202509070100,Stanley,Southeast,18,28
202509070100,Star Ferry,East,19,33
202509070100,Ta Kwu Ling,East,9,16
202509070100,Tai Mei Tuk,East,25,33
202509070100,Tai Po Kau,East,27,36
202509070100,Tap Mun,East,33,40
202509070100,Tate's Cairn,N/A,34,48
202509070100,Tseung Kwan O,Southeast,10,21
202509070100,Tsing Yi,Southeast,11,24
202509070100,Tuen Mun,North,3,7
202509070100,Waglan Island,East,34,38
202509070100,Wetland Park,East,3,10
202509070100,Wong Chuk Hang,East,6,20
