Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509071520,Central Pier,East,28,36
202509071520,Chek Lap Kok,East,22,35
202509071520,Cheung Chau,East,27,42
202509071520,Cheung Chau Beach,East,35,43
202509071520,Green Island,Northeast,39,48
202509071520,Hong Kong Sea School,East,28,44
202509071520,Kai Tak,East,18,33
202509071520,King's Park,East,13,26
202509071520,Lamma Island,East,23,33
202509071520,Lau Fau Shan,East,19,29
202509071520,Ngong Ping,East,42,53
202509071520,North Point,East,24,40
202509071520,Peng Chau,East,26,33
202509071520,Sai Kung,East,24,33
202509071520,Sha Chau,Variable,16,26
202509071520,Sha Tin,East,8,17
202509071520,Shek Kong,East,18,28
202509071520,Stanley,Southeast,27,48
202509071520,Star Ferry,East,22,35
202509071520,Ta Kwu Ling,East,10,19
202509071520,Tai Mei Tuk,Northeast,22,33
202509071520,Tai Po Kau,East,20,26
202509071520,Tap Mun,Southeast,30,39
202509071520,Tate's Cairn,N/A,36,50
202509071520,Tseung Kwan O,East,6,22
202509071520,Tsing Yi,Southeast,14,28
202509071520,Tuen Mun,Variable,4,12
202509071520,Waglan Island,East,42,49
202509071520,Wetland Park,Northeast,4,14
202509071520,Wong Chuk Hang,East,11,28
